starting_number,sequence_length,max_value,steps_to_peak,total_steps,peak_value,execution_time,timestamp
1,1,1,0,0,1,2.1457672119140625e-06,2025-09-02 21:49:00.204374
2,2,2,0,1,2,1.9073486328125e-06,2025-09-02 21:49:00.204404
3,8,16,3,7,16,3.0994415283203125e-06,2025-09-02 21:49:00.204415
4,3,4,0,2,4,1.1920928955078125e-06,2025-09-02 21:49:00.204420
5,6,16,1,5,16,9.5367431640625e-07,2025-09-02 21:49:00.204424
6,9,16,4,8,16,5.7220458984375e-06,2025-09-02 21:49:00.204434
7,17,52,5,16,52,4.0531158447265625e-06,2025-09-02 21:49:00.204441
8,4,8,0,3,8,0.0,2025-09-02 21:49:00.204448
9,20,52,8,19,52,3.814697265625e-06,2025-09-02 21:49:00.204455
10,7,16,2,6,16,9.5367431640625e-07,2025-09-02 21:49:00.204460
11,15,52,3,14,52,3.0994415283203125e-06,2025-09-02 21:49:00.204465
12,10,16,5,9,16,1.9073486328125e-06,2025-09-02 21:49:00.204470
13,10,40,1,9,40,1.9073486328125e-06,2025-09-02 21:49:00.204474
14,18,52,6,17,52,4.0531158447265625e-06,2025-09-02 21:49:00.204486
15,18,160,7,17,160,4.0531158447265625e-06,2025-09-02 21:49:00.204498
16,5,16,0,4,16,9.5367431640625e-07,2025-09-02 21:49:00.204501
17,13,52,1,12,52,2.1457672119140625e-06,2025-09-02 21:49:00.204507
18,21,52,9,20,52,2.86102294921875e-06,2025-09-02 21:49:00.204514
19,21,88,3,20,88,4.0531158447265625e-06,2025-09-02 21:49:00.204524
20,8,20,0,7,20,1.1920928955078125e-06,2025-09-02 21:49:00.204527
21,8,64,1,7,64,2.1457672119140625e-06,2025-09-02 21:49:00.204532
22,16,52,4,15,52,1.9073486328125e-06,2025-09-02 21:49:00.204537
23,16,160,5,15,160,2.1457672119140625e-06,2025-09-02 21:49:00.204543
24,11,24,0,10,24,1.9073486328125e-06,2025-09-02 21:49:00.204547
25,24,88,6,23,88,3.814697265625e-06,2025-09-02 21:49:00.204554
26,11,40,2,10,40,1.1920928955078125e-06,2025-09-02 21:49:00.204563
27,112,9232,77,111,9232,4.1961669921875e-05,2025-09-02 21:49:00.204612
28,19,52,7,18,52,3.0994415283203125e-06,2025-09-02 21:49:00.204619
29,19,88,1,18,88,2.1457672119140625e-06,2025-09-02 21:49:00.204625
30,19,160,8,18,160,1.9073486328125e-06,2025-09-02 21:49:00.204631
31,107,9232,72,106,9232,2.193450927734375e-05,2025-09-02 21:49:00.204658
32,6,32,0,5,32,2.1457672119140625e-06,2025-09-02 21:49:00.204662
33,27,100,1,26,100,3.814697265625e-06,2025-09-02 21:49:00.204669
34,14,52,2,13,52,2.1457672119140625e-06,2025-09-02 21:49:00.204674
35,14,160,3,13,160,1.6689300537109375e-06,2025-09-02 21:49:00.204679
36,22,52,10,21,52,4.0531158447265625e-06,2025-09-02 21:49:00.204685
37,22,112,1,21,112,2.86102294921875e-06,2025-09-02 21:49:00.204694
38,22,88,4,21,88,3.0994415283203125e-06,2025-09-02 21:49:00.204700
39,35,304,10,34,304,7.152557373046875e-06,2025-09-02 21:49:00.204710
40,9,40,0,8,40,1.9073486328125e-06,2025-09-02 21:49:00.204714
41,110,9232,75,109,9232,2.5033950805664062e-05,2025-09-02 21:49:00.204744
42,9,64,2,8,64,9.5367431640625e-07,2025-09-02 21:49:00.204748
43,30,196,3,29,196,4.76837158203125e-06,2025-09-02 21:49:00.204757
44,17,52,5,16,52,3.0994415283203125e-06,2025-09-02 21:49:00.204762
45,17,136,1,16,136,3.0994415283203125e-06,2025-09-02 21:49:00.204767
46,17,160,6,16,160,2.86102294921875e-06,2025-09-02 21:49:00.204773
47,105,9232,70,104,9232,2.5033950805664062e-05,2025-09-02 21:49:00.204804
48,12,48,0,11,48,2.1457672119140625e-06,2025-09-02 21:49:00.204809
49,25,148,1,24,148,3.0994415283203125e-06,2025-09-02 21:49:00.204815
50,25,88,7,24,88,7.152557373046875e-06,2025-09-02 21:49:00.204825
51,25,232,3,24,232,4.0531158447265625e-06,2025-09-02 21:49:00.204832
